TimeStamp,Summary,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Pressure (millibars),Rain
1729563147,Partly Cloudy,9.911111111,7.566666667,0.66,17.2109,149,15.8263,1014.2,No
1704734059,Mostly Cloudy,11.18333333,11.18333333,0.8,10.8192,163,14.9569,1008.71,No
1711526184,Partly Cloudy,7.155555556,5.044444444,0.79,11.0768,180,15.8263,1014.47,Yes
1718444302,Partly Cloudy,6.111111111,4.816666667,0.82,6.6493,161,15.8263,1014.45,Yes
1708439678,Partly Cloudy,6.788888889,4.272222222,0.83,13.0088,135,14.9569,1014.49,No
1719548466,Mostly Cloudy,7.261111111,5.155555556,0.85,11.1734,141,6.1985,1014.52,Yes
1715737168,Mostly Cloudy,7.8,5.527777778,0.83,12.8156,150,8.05,1014.16,Yes
1726819845,Mostly Cloudy,9.872222222,7.933333333,0.78,13.7494,160,9.982,1014.24,No
1735443501,Mostly Cloudy,12.22222222,12.22222222,0.72,15.6331,150,9.982,1014.25,Yes
1712792624,Mostly Cloudy,15.09444444,15.09444444,0.61,17.549,151,9.982,1013.96,Yes
1710662363,Mostly Cloudy,17.35555556,17.35555556,0.52,22.7815,169,9.982,1013.85,Yes
1706682210,Mostly Cloudy,19.00555556,19.00555556,0.46,23.8924,169,9.982,1013.04,No
1707677077,Mostly Cloudy,20.04444444,20.04444444,0.4,28.3682,170,9.982,1012.22,Yes
1724930490,Mostly Cloudy,21.05,21.05,0.4,26.9031,187,10.3523,1011.44,Yes
1723002541,Mostly Cloudy,21.18333333,21.18333333,0.37,25.6956,179,9.982,1010.52,Yes
1710277662,Mostly Cloudy,20.11666667,20.11666667,0.4,25.3092,162,9.982,1009.83,No
1704087293,Mostly Cloudy,20.21666667,20.21666667,0.36,18.1125,161,10.3523,1009.26,Yes
1730357319,Mostly Cloudy,20,20,0.43,23.4255,160,9.982,1008.76,Yes
1728985191,Mostly Cloudy,17.8,17.8,0.5,20.0445,150,11.2056,1008.36,No
1734958959,Mostly Cloudy,16.06111111,16.06111111,0.53,21.3969,149,9.982,1008.11,Yes
1723000166,Mostly Cloudy,15.02222222,15.02222222,0.55,21.3808,159,9.982,1008.15,Yes
1715230016,Overcast,14.42222222,14.42222222,0.58,20.0123,159,15.8263,1007.85,Yes
1713710382,Overcast,14.25555556,14.25555556,0.59,16.5025,168,14.9569,1007.89,Yes
1707057935,Overcast,13.77222222,13.77222222,0.6,17.0982,160,15.8263,1007.36,Yes
1734980422,Overcast,13.28333333,13.28333333,0.63,14.3612,160,15.8263,1007.26,Yes
1720340942,Overcast,8.633333333,5.466666667,0.87,22.0409,32,6.6976,1005.1,Yes
1715059433,Overcast,11.25,11.25,0.83,11.3344,152,15.8263,1007.01,No
1733101962,Overcast,11.18333333,11.18333333,0.89,11.2056,180,9.9015,1006.73,Yes
1707841107,Overcast,10.69444444,10.69444444,0.95,10.4006,161,6.6976,1006.59,Yes
1727599763,Mostly Cloudy,11.11111111,11.11111111,0.93,12.0106,140,5.9731,1006.34,Yes
1735135884,Mostly Cloudy,11.11111111,11.11111111,0.93,9.2092,103,10.8031,1006.09,No
1707826130,Partly Cloudy,12.16666667,12.16666667,0.82,9.9015,113,10.6743,1005.97,No
1707460024,Partly Cloudy,12.75555556,12.75555556,0.79,13.8299,129,10.8192,1005.63,No
1726613380,Partly Cloudy,13.83888889,13.83888889,0.84,9.0965,159,10.8192,1005.83,No
1731264377,Partly Cloudy,16.18333333,16.18333333,0.73,0.644,207,10.7548,1005.97,No
1728214350,Mostly Cloudy,17.51666667,17.51666667,0.67,0.6762,153,10.8997,1005.64,No
1709737663,Mostly Cloudy,17.38333333,17.38333333,0.67,3.864,4,10.8514,1005.2,No
1734639926,Mostly Cloudy,17.36111111,17.36111111,0.71,7.8246,341,11.0768,1005.1,No
1709347879,Mostly Cloudy,17.20555556,17.20555556,0.74,15.5848,15,10.8514,1004.65,No
1707020263,Mostly Cloudy,15.63333333,15.63333333,0.81,23.6992,348,10.8836,1004.04,Yes
1730948665,Overcast,13.57777778,13.57777778,0.9,20.9622,321,7.6153,1004.08,Yes
1721184889,Foggy,10.91111111,10.91111111,0.86,22.3951,311,2.6565,1004.61,No
1710993548,Foggy,8.8,5.294444444,0.99,26.5006,339,2.6565,1004.99,Yes
1733101665,Overcast,8.961111111,5.777777778,0.93,23.2162,340,3.8157,1004.85,Yes
1716593874,Overcast,8.2,4.605555556,0.96,25.4219,330,4.4919,1004.96,Yes
1720239325,Overcast,7.688888889,3.722222222,0.96,28.1267,339,4.4436,1005.14,Yes
1714075985,Overcast,7.766666667,4.65,0.96,19.2878,339,5.6833,1005.05,Yes
1715714961,Foggy,8.2,5.072222222,0.96,20.447,341,3.1073,1004.8,No
1717163287,Foggy,8.177777778,4.372222222,0.93,27.8691,19,3.2039,1004.89,No
1733475908,Mostly Cloudy,7.311111111,6.183333333,0.82,6.7459,277,14.0553,1007,No
1713811325,Overcast,7.644444444,5.038888889,0.93,14.9086,9,6.118,1004.3,No
1713531607,Overcast,6.622222222,2.616666667,0.93,25.0355,0,6.118,1003.68,No
1734787323,Overcast,6.683333333,3.222222222,0.93,19.8352,350,6.1663,1003.86,Yes
1708071111,Overcast,6.088888889,1.65,0.93,28.0945,349,7.9695,1003.57,Yes
1720459097,Overcast,6.066666667,1.633333333,0.93,27.9818,348,6.3434,1003.96,No
1723903952,Breezy and Mostly Cloudy,6.144444444,1.494444444,0.93,30.8637,349,10.5455,1004.1,No
1725208226,Breezy and Mostly Cloudy,7.133333333,2.688888889,0.8,32.1678,349,11.2056,1004.26,Yes
1720712718,Overcast,7.205555556,3.233333333,0.86,26.5328,339,11.27,1004.18,Yes
1713845333,Mostly Cloudy,7.566666667,3.544444444,0.84,28.336,339,10.5455,1004.23,Yes
1730503087,Mostly Cloudy,8.9,5.161111111,0.77,29.8333,348,11.27,1004.47,Yes
1707005481,Mostly Cloudy,9.961111111,6.644444444,0.71,28.4809,339,11.27,1004.52,Yes
1734689448,Mostly Cloudy,9.888888889,6.55,0.71,28.5131,338,11.0768,1004.29,Yes
1723959630,Mostly Cloudy,11.06666667,11.06666667,0.71,25.6956,320,11.27,1003.93,Yes
1734278940,Overcast,10.11666667,10.11666667,0.76,25.3414,311,11.27,1004,Yes
1708332324,Overcast,11.03888889,11.03888889,0.66,21.413,311,9.982,1004.3,Yes
1711307449,Overcast,10.65,10.65,0.7,17.8549,310,14.9086,1004,Yes
1725810305,Overcast,10.05,10.05,0.7,15.1984,328,9.982,1004.39,Yes
1711105007,Mostly Cloudy,9.9,7.716666667,0.66,15.7297,348,11.0285,1005.48,Yes
1710781531,Overcast,8.794444444,6.816666667,0.71,12.3648,20,9.982,1005.89,Yes
1717845524,Mostly Cloudy,7.827777778,5.405555556,0.72,13.8943,28,15.8263,1006.37,Yes
1725306741,Overcast,7.855555556,6.122222222,0.72,9.8049,11,15.0052,1006.56,Yes
1735281068,Mostly Cloudy,7.316666667,6.211111111,0.75,6.6654,326,15.8746,1007.07,Yes
1734805734,Overcast,7.244444444,6.005555556,0.75,7.1162,309,15.8746,1007.37,Yes
1708136465,Partly Cloudy,5.438888889,5.438888889,0.88,3.7191,193,9.982,1012.23,Yes
1716941507,Overcast,7.2,4.55,0.76,14.4739,273,15.8263,1007.28,Yes
1710818885,Overcast,6.688888889,3.161111111,0.7,20.5275,300,15.8263,1007.18,Yes
1710818888,Overcast,6.211111111,2.694444444,0.73,19.3039,309,14.9569,1007.39,Yes
1710818887,Overcast,6.111111111,2.8,0.76,17.4363,300,9.982,1007.67,Yes
1710818885,Overcast,6.111111111,2.438888889,0.76,20.4148,300,9.982,1007.98,Yes
1710818889,Overcast,6.172222222,2.922222222,0.76,17.0499,307,9.982,1008.57,Yes
1710818885,Overcast,7.222222222,3.833333333,0.71,20.5114,319,9.982,1008.87,Yes
1710818887,Overcast,7.288888889,4.244444444,0.73,17.6456,328,9.982,1009.44,Yes
1710818887,Overcast,7.405555556,4.816666667,0.72,14.4095,318,9.982,1010.03,Yes
1710818888,Overcast,33.96111111,6.072222222,0.7,10.7548,321,10.0464,1010.22,Yes
1710818884,Overcast,8.033333333,7.583333333,0.7,4.8622,349,10.0464,1010.39,Yes
1710818888,Overcast,9.077777778,9.077777778,0.65,2.3828,348,10.0303,1010.24,Yes
1710818889,Overcast,9.05,9.05,0.62,0.322,243,9.982,1010,Yes
1710818891,Overcast,9.05,9.05,0.65,3.2522,177,11.2056,1009.98,Yes
1710818887,Overcast,9.183333333,9.183333333,0.65,3.0107,170,11.0285,1010.05,Yes
1710818891,Overcast,9.072222222,7.455555556,0.7,10.465,172,9.982,1010.1,Yes
1710818883,Overcast,7.983333333,6.811111111,0.75,7.3416,172,9.982,1010.39,Yes
1710818889,Overcast,8.072222222,6.433333333,0.75,9.5151,150,9.982,1010.91,Yes
1710818891,Overcast,7.894444444,6.127777778,0.82,9.9981,142,9.982,1011.32,Yes
1710818888,Overcast,7.311111111,4.805555556,0.83,13.685,141,11.9784,1011.61,Yes
1710818886,Mostly Cloudy,7.338888889,5.183333333,0.84,11.5437,141,14.168,1011.97,Yes
1710818884,Mostly Cloudy,6.622222222,4.111111111,0.85,12.719,142,14.9086,1012.22,Yes
1710818886,Partly Cloudy,6.066666667,3.411111111,0.88,12.8961,130,14.9086,1012.74,Yes
1710818886,Partly Cloudy,8.338888889,8.338888889,0.88,0.6923,359,15.0052,1015.35,Yes
1710818885,Mostly Cloudy,5.183333333,4.111111111,0.91,5.5384,166,9.982,1013.29,Yes
1710818884,Mostly Cloudy,3.722222222,2.566666667,0.94,5.2003,145,9.982,1013.39,Yes
1710818885,Mostly Cloudy,4.855555556,3.705555556,0.93,5.6189,170,5.9248,1013.45,Yes
1710818888,Foggy,5.211111111,5.211111111,0.92,4.7656,178,1.2236,1013.4,Yes
1710818890,Overcast,6.255555556,4.638888889,0.92,7.9212,223,7.2128,1013.81,Yes
1710818888,Mostly Cloudy,7.794444444,6.055555556,0.87,9.7566,240,10.6743,1014.7,Yes
1710818883,Mostly Cloudy,10.05,10.05,0.76,9.6922,231,11.2056,1014.67,Yes
1710818883,Mostly Cloudy,12.2,12.2,0.66,14.49,230,9.982,1014.66,Yes
1710818887,Mostly Cloudy,12.7,12.7,0.63,20.3343,214,11.0285,1014.8,Yes
1710818888,Partly Cloudy,13.93333333,13.93333333,0.58,23.5865,222,11.27,1014.47,Yes
1710818884,Partly Cloudy,15.09444444,15.09444444,0.59,22.2985,241,11.27,1014.16,Yes
1710818888,Mostly Cloudy,15.15,15.15,0.5,14.7154,235,11.4471,1014.07,Yes
1710818885,Partly Cloudy,16.17777778,16.17777778,0.44,14.49,238,11.27,1013.34,Yes
1710818890,Partly Cloudy,16.25,16.25,0.55,14.7154,211,11.27,1012.72,Yes
1710818887,Partly Cloudy,16.29444444,16.29444444,0.5,19.5937,221,11.4471,1012.38,Yes
1710818886,Partly Cloudy,16.1,16.1,0.56,14.8281,215,11.1251,1012.38,Yes
1710818887,Partly Cloudy,12.95555556,12.95555556,0.68,11.9784,224,11.27,1012.72,Yes
1710818883,Mostly Cloudy,13.85,13.85,0.64,11.5598,231,11.4471,1013.42,Yes
1710818890,Mostly Cloudy,12.77777778,12.77777778,0.69,14.2485,358,10.0464,1014.41,Yes
1710818888,Mostly Cloudy,12.15,12.15,0.72,11.2539,8,15.8746,1014.89,Yes
1710818883,Mostly Cloudy,10.67777778,10.67777778,0.81,5.7799,59,15.0052,1014.91,Yes
1710818883,Mostly Cloudy,10.44444444,10.44444444,0.83,2.6404,63,15.8746,1014.75,Yes
1710818884,Mostly Cloudy,9.822222222,9.466666667,0.8,5.313,65,15.8746,1015.55,Yes
1710818890,Mostly Cloudy,11.02777778,11.02777778,0.74,11.3827,146,14.9569,1015.7,Yes
1710818889,Mostly Cloudy,7.138888889,7.138888889,0.93,3.6547,305,14.9086,1016.43,Yes
1710818886,Mostly Cloudy,7.622222222,5.644444444,0.89,10.8675,327,14.9086,1016.56,Yes
1710818885,Mostly Cloudy,7.627777778,6.611111111,0.86,6.5205,319,13.3791,1017.15,Yes
1710818883,Mostly Cloudy,7.044444444,4.855555556,0.86,11.3988,271,9.982,1017.37,Yes
1710818883,Partly Cloudy,8.6,7.038888889,0.84,9.66,297,9.982,1018.25,Yes
1710818886,Partly Cloudy,9.65,7.383333333,0.84,15.9551,289,9.982,1019.24,Yes
1710818886,Partly Cloudy,12.10555556,12.10555556,0.72,13.1698,310,9.982,1019.83,Yes
1710818888,Partly Cloudy,12.77777778,12.77777778,0.71,13.1698,301,11.2056,1020.51,Yes
1710818888,Partly Cloudy,13.81111111,13.81111111,0.65,9.6761,307,11.4471,1020.91,Yes
1710818884,Partly Cloudy,16.01666667,16.01666667,0.48,11.2378,307,11.27,1020.6,Yes
1710818890,Partly Cloudy,17.12777778,17.12777778,0.47,12.7029,308,11.27,1020.39,Yes
1710818888,Partly Cloudy,17.14444444,17.14444444,0.43,10.6099,279,11.4471,1020.34,Yes
1710818885,Mostly Cloudy,17.77777778,17.77777778,0.4,7.9534,272,11.2056,1019.7,Yes
1710818886,Mostly Cloudy,17.77777778,17.77777778,0.37,2.5921,351,11.2056,1018.89,Yes
1710818885,Mostly Cloudy,17.80555556,17.80555556,0.43,11.0124,175,10.3523,1018.48,Yes
1710818889,Mostly Cloudy,16.15555556,16.15555556,0.52,9.1931,172,9.982,1017.87,Yes
1710818883,Mostly Cloudy,14.05,14.05,0.63,9.1609,160,9.982,1017.56,Yes
1710818887,Mostly Cloudy,13.08888889,13.08888889,0.67,9.2736,138,9.982,1017.38,Yes
1710818886,Mostly Cloudy,12.28888889,12.28888889,0.72,9.4507,141,9.982,1017.58,Yes
1710818885,Overcast,12.77777778,12.77777778,0.66,11.0768,141,15.8263,1017.65,Yes
1710818884,Overcast,12.72777778,12.72777778,0.67,13.3791,149,14.9569,1017.36,Yes
1710818883,Overcast,12.26666667,12.26666667,0.69,14.1358,151,15.8263,1016.8,Yes
1710818885,Overcast,11.71111111,11.71111111,0.71,11.3183,158,15.8263,1016.64,Yes
1710818885,Partly Cloudy,10.82777778,10.82777778,0.86,9.177,259,14.168,1013.13,Yes
1710818887,Overcast,12.2,12.2,0.59,14.168,141,15.8263,1014.79,Yes
1710818889,Overcast,12.2,12.2,0.6,14.2968,151,15.8263,1014.25,Yes
1710818887,Overcast,11.68888889,11.68888889,0.68,13.8299,152,14.9569,1013.95,Yes
1710818887,Overcast,11.20555556,11.20555556,0.77,14.007,132,9.982,1013.63,Yes
1710818885,Mostly Cloudy,11.13333333,11.13333333,0.77,15.4882,150,9.982,1013.27,Yes
1710818885,Mostly Cloudy,11.43888889,11.43888889,0.77,13.8782,163,10.3523,1013.56,Yes
1710818891,Mostly Cloudy,13.03333333,13.03333333,0.81,14.4578,209,9.982,1012.85,Yes
1710818883,Mostly Cloudy,17.24444444,17.24444444,0.62,25.0194,221,11.27,1012.15,Yes
1710818891,Mostly Cloudy,17.73888889,17.73888889,0.53,27.37,230,11.4471,1011.71,Yes
1710818882,Overcast,17.84444444,17.84444444,0.56,22.218,251,11.27,1011.28,Yes
1710818891,Mostly Cloudy,18.86111111,18.86111111,0.56,23.5382,250,11.27,1010.99,Yes
1710818882,Overcast,18.66666667,18.66666667,0.56,19.8996,240,11.3988,1010.93,Yes
1710818887,Overcast,17.82222222,17.82222222,0.56,17.5007,243,11.27,1010.7,Yes
1710818887,Overcast,17.8,17.8,0.59,17.6939,281,11.27,1010.52,Yes
1710818886,Mostly Cloudy,17.35,17.35,0.57,19.5615,295,11.3988,1010.69,Yes
1710818888,Mostly Cloudy,16.06666667,16.06666667,0.67,21.8155,280,11.2056,1010.86,Yes
1710818888,Mostly Cloudy,14.93333333,14.93333333,0.73,17.2753,280,11.2056,1011.14,Yes
1710818890,Mostly Cloudy,13.92222222,13.92222222,0.78,11.7691,279,11.2861,1011.64,Yes
1710818884,Mostly Cloudy,12.75555556,12.75555556,0.84,11.0446,270,11.0768,1012.02,Yes
1710818883,Mostly Cloudy,12.75555556,12.75555556,0.84,11.0607,277,15.6975,1012.21,Yes
1710818890,Mostly Cloudy,12.37222222,12.37222222,0.86,7.2933,239,14.8764,1012.33,Yes
1710818890,Mostly Cloudy,11.18333333,11.18333333,0.93,6.923,241,15.8263,1012.6,Yes
1710818890,Mostly Cloudy,11.66666667,11.66666667,0.9,11.1734,242,15.8263,1012.8,No
1710818891,Partly Cloudy,8.977777778,7.366666667,0.95,10.3201,266,6.8425,1012.66,No
1710818886,Mostly Cloudy,10.57777778,10.57777778,0.93,11.1734,278,14.9086,1012.32,No
1710818890,Mostly Cloudy,10.53333333,10.53333333,0.89,14.007,269,14.9086,1012.33,No
1710818888,Mostly Cloudy,10.58888889,10.58888889,0.87,7.2933,269,14.168,1012.55,No
1710818885,Mostly Cloudy,9.983333333,9.283333333,0.89,6.7298,297,15.8263,1012.71,No
1710818889,Mostly Cloudy,11.02222222,11.02222222,0.86,7.889,307,9.982,1013.01,No
1728483012,Partly Cloudy,13.53888889,13.53888889,0.75,11.8657,305,9.982,1013.23,No
1723985512,Partly Cloudy,13.88888889,13.88888889,0.68,20.0123,308,11.2056,1013.31,No
1730109158,Partly Cloudy,15,15,0.67,17.5812,300,11.2056,1013.4,No
1704627452,Partly Cloudy,17.18333333,17.18333333,0.57,15.9551,319,11.4471,1013.27,No
1718082513,Mostly Cloudy,16.2,16.2,0.62,16.3093,309,11.27,1013.02,No
1727085079,Mostly Cloudy,17.75,17.75,0.56,17.7744,290,11.2056,1013.03,Yes
1713144190,Mostly Cloudy,18.40555556,18.40555556,0.54,19.0785,297,15.3594,1012.55,Yes
1726906044,Partly Cloudy,17.82222222,17.82222222,0.59,17.5973,319,11.27,1012.03,Yes
1730633313,Partly Cloudy,17.31111111,17.31111111,0.57,20.3343,310,11.27,1011.81,Yes
1718374724,Partly Cloudy,17.50555556,17.50555556,0.55,13.7172,316,11.4471,1011.33,Yes
1733788279,Mostly Cloudy,17.26666667,17.26666667,0.54,14.3773,309,9.982,1011.2,Yes
1706677158,Mostly Cloudy,15.13888889,15.13888889,0.61,10.8997,310,9.982,1011.5,Yes
1726828176,Mostly Cloudy,13.25,13.25,0.69,4.7173,325,9.982,1011.76,Yes
1709236713,Partly Cloudy,12.29444444,12.29444444,0.72,4.669,282,9.982,1012.01,Yes
1733051969,Partly Cloudy,10.7,10.7,0.79,3.5742,281,15.8263,1012.31,Yes
1717185025,Partly Cloudy,9.855555556,9.388888889,0.85,5.7477,274,14.9569,1012.51,Yes
1733433113,Partly Cloudy,9.522222222,7.861111111,0.88,11.27,280,11.9784,1012.52,Yes
1723859271,Partly Cloudy,8.405555556,8.405555556,0.92,3.1234,255,11.9784,1012.61,Yes
1718191241,Mostly Cloudy,13.01111111,13.01111111,0.82,9.6278,46,14.9569,1011.27,Yes
1708227717,Partly Cloudy,7.733333333,7.733333333,0.96,3.4293,277,4.2987,1012.54,Yes
1725429518,Partly Cloudy,6.138888889,6.138888889,0.96,3.3488,284,4.1216,1012.44,Yes
1731332935,Partly Cloudy,6.472222222,6.472222222,0.95,2.9946,283,4.7656,1012.62,Yes
1730194797,Foggy,6.627777778,6.627777778,0.96,3.3005,313,2.9302,1012.75,Yes
1719410553,Clear,8.688888889,8.688888889,0.93,1.4329,290,5.8443,1012.96,Yes
1713166264,Partly Cloudy,11.99444444,11.99444444,0.81,2.415,345,9.6117,1013.38,Yes
1706387120,Partly Cloudy,13.76666667,13.76666667,0.78,4.1538,16,9.6761,1013.14,Yes
1729296773,Partly Cloudy,15.08888889,15.08888889,0.77,7.3738,332,9.9015,1013.33,Yes
1710468937,Partly Cloudy,16.45555556,16.45555556,0.68,7.8085,350,11.0768,1013.56,Yes
1721230797,Partly Cloudy,17.31111111,17.31111111,0.62,7.3738,330,11.27,1013.61,No
1721634755,Partly Cloudy,17.87222222,17.87222222,0.64,8.372,12,11.27,1013.11,No
1709584271,Partly Cloudy,19.03888889,19.03888889,0.47,7.0679,39,11.4471,1012.69,No
1735051171,Partly Cloudy,18.97777778,18.97777778,0.51,10.8675,3,11.27,1012.2,No
1714042019,Partly Cloudy,19.00555556,19.00555556,0.55,4.8139,9,11.2056,1011.7,No
1735163449,Mostly Cloudy,19.01111111,19.01111111,0.53,4.7978,33,11.3988,1011.4,No
1725290717,Mostly Cloudy,17.86666667,17.86666667,0.64,10.9319,24,11.2056,1011.32,No
1711733415,Mostly Cloudy,17.26666667,17.26666667,0.62,10.8514,33,9.982,1011.23,No
1715877165,Mostly Cloudy,16.18888889,16.18888889,0.61,5.0876,25,10.3523,1011.5,No
1716297384,Mostly Cloudy,14.88333333,14.88333333,0.72,9.177,32,9.982,1012.05,No
1721265251,Mostly Cloudy,14.32777778,14.32777778,0.75,10.9319,31,15.8263,1012.15,No
1724288534,Overcast,14.51111111,14.51111111,0.75,6.3756,47,14.9569,1012.09,No
1714448191,Overcast,14.37222222,14.37222222,0.75,6.5366,67,15.8263,1011.83,No
1719119222,Overcast,14.87777778,14.87777778,0.72,14.2163,60,15.8263,1011.45,No
1704733603,Foggy,10.40555556,10.40555556,0.92,3.6064,144,2.0125,1012.05,No
1728998268,Overcast,12.82222222,12.82222222,0.83,8.4364,57,11.2056,1011.18,No
1729483496,Overcast,12.8,12.8,0.85,14.4256,31,14.9086,1010.07,No
1724446828,Overcast,12.82777778,12.82777778,0.86,13.8943,12,14.168,1009.83,No
1704194631,Overcast,12.26666667,12.26666667,0.85,15.778,12,11.2056,1009.8,No
1722156602,Overcast,12.26666667,12.26666667,0.85,15.5848,2,11.27,1009.99,No
1707058996,Mostly Cloudy,12.18333333,12.18333333,0.82,12.3809,11,11.0768,1010.21,No
1730767350,Overcast,12.17222222,12.17222222,0.8,20.3826,11,11.27,1010.41,Yes
1715359615,Overcast,12.71111111,12.71111111,0.83,22.0892,19,11.27,1010.33,Yes
1715821010,Mostly Cloudy,15.60555556,15.60555556,0.78,22.3468,18,10.3523,1010.43,Yes
1717945461,Mostly Cloudy,16.02222222,16.02222222,0.78,18.0642,20,11.2056,1010.29,Yes
1729932331,Mostly Cloudy,17.2,17.2,0.67,17.6456,48,11.2056,1010.1,Yes
1728684344,Overcast,17.21666667,17.21666667,0.71,14.0875,46,11.0285,1009.96,Yes
1728419409,Mostly Cloudy,17.82777778,17.82777778,0.69,13.4113,29,11.2056,1009.86,Yes
1710842367,Mostly Cloudy,17.82777778,17.82777778,0.69,14.6188,19,11.2056,1009.47,No
1709339602,Partly Cloudy,17.73333333,17.73333333,0.69,9.2414,340,11.0285,1009.63,No
1727567407,Mostly Cloudy,16.27222222,16.27222222,0.71,23.0713,39,11.2056,1009.39,No
1721658634,Overcast,13.16666667,13.16666667,0.93,3.7674,335,5.2164,1011.07,No
1733507730,Overcast,13.25555556,13.25555556,0.93,3.1395,228,8.05,1011.23,Yes
1720881078,Overcast,13.01111111,13.01111111,0.93,10.3362,274,9.982,1011.35,Yes
1708302297,Mostly Cloudy,12.45555556,12.45555556,0.91,5.796,310,14.9086,1011.67,Yes
1734937311,Mostly Cloudy,12.48888889,12.48888889,0.9,9.8854,315,14.5866,1011.76,Yes
1730021594,Mostly Cloudy,9.555555556,8.85,0.8,6.4883,146,15.8263,1015.68,Yes
1722601917,Mostly Cloudy,10.62222222,10.62222222,0.79,14.0231,160,15.8263,1015.41,Yes
1733782950,Partly Cloudy,8.722222222,8.722222222,0.93,4.5724,40,11.3988,1014.98,Yes
1704176154,Mostly Cloudy,10.53333333,10.53333333,0.77,10.7709,143,15.8263,1015.18,Yes
1735172181,Mostly Cloudy,9.444444444,8.705555556,0.83,6.5366,133,15.8263,1014.7,Yes
1723403252,Mostly Cloudy,9.888888889,9.327777778,0.83,6.0858,163,14.9569,1014.64,Yes
1733248950,Mostly Cloudy,10.36666667,10.36666667,0.78,10.7065,136,15.8263,1014.31,Yes
1728060542,Partly Cloudy,8.888888889,7.233333333,0.89,10.4972,158,11.2056,1014.63,Yes
1707955790,Partly Cloudy,9.977777778,8.994444444,0.84,8.0017,151,11.0285,1014.82,Yes
1707143521,Mostly Cloudy,12.2,12.2,0.73,2.4633,355,9.982,1014.82,Yes
1713850978,Mostly Cloudy,13.96111111,13.96111111,0.67,9.3058,123,9.982,1015,Yes
1726700283,Mostly Cloudy,14.94444444,14.94444444,0.67,7.1645,132,10.3523,1014.9,Yes
1717947427,Mostly Cloudy,16.18333333,16.18333333,0.71,11.753,199,9.982,1014.35,Yes
1733956371,Partly Cloudy,16.36666667,16.36666667,0.61,7.1323,227,11.27,1014.51,Yes
1735363535,Partly Cloudy,17.37222222,17.37222222,0.57,3.6225,251,11.4471,1014.32,Yes
1708309286,Partly Cloudy,17.67222222,17.67222222,0.51,1.7549,156,11.27,1013.93,Yes
1721531382,Partly Cloudy,17.72222222,17.72222222,0.53,8.6779,113,11.27,1013.45,Yes
1704871959,Partly Cloudy,16.23888889,16.23888889,0.61,2.8336,261,11.3988,1013.43,Yes
1719201815,Mostly Cloudy,14.06666667,14.06666667,0.71,9.2414,357,11.2056,1013.58,Yes
1718194435,Partly Cloudy,13.95555556,13.95555556,0.76,7.4221,147,11.2056,1013.24,Yes
